employee_id,department,position
8724,Technology,Manager
74430,HR,Manager
72255,Sales & Marketing,Manager
38562,Procurement,Manager
64486,Finance,Manager
46232,Procurement,Manager
54542,Finance,Manager
67269,Analytics,Manager
66174,Technology,Manager
76303,Technology,Manager
60245,Sales & Marketing,Manager
42639,Sales & Marketing,Manager
30963,Sales & Marketing,Manager
54055,Analytics,Manager
42996,Operations,Manager
12737,Sales & Marketing,Manager
27561,Operations,Manager
26622,Sales & Marketing,Manager
31582,Procurement,Manager
29793,Procurement,Manager
72735,Sales & Marketing,Manager
5677,Technology,Manager
60889,Technology,Manager
51498,Procurement,Manager
8566,Finance,Manager
53151,Operations,Manager
16203,Sales & Marketing,Manager
61083,Analytics,Manager
74849,Operations,Manager
13259,Sales & Marketing,Manager
72407,Analytics,Manager
65237,Sales & Marketing,Manager
67672,Technology,Manager
77460,Sales & Marketing,Manager
67317,Technology,Manager
68788,Technology,Manager
36834,Sales & Marketing,Manager
64281,Sales & Marketing,Manager
1822,Sales & Marketing,Manager
55325,Analytics,Manager
41432,Analytics,Manager
52061,Sales & Marketing,Manager
39973,Operations,Manager
42524,Sales & Marketing,Manager
7935,Technology,Manager
49940,Sales & Marketing,Manager
10059,Analytics,Manager
44159,Analytics,Manager
76691,Operations,Manager
3720,Sales & Marketing,Manager
5621,Technology,Manager
24147,Sales & Marketing,Manager
33997,Sales & Marketing,Manager
64076,Operations,Manager
21379,Technology,Manager
23714,Technology,Manager
19866,Technology,Manager
4529,Finance,Manager
64703,Legal,Manager
19649,Operations,Manager
6596,Sales & Marketing,Manager
7999,Technology,Manager
4762,Sales & Marketing,Manager
5387,Technology,Manager
24620,Operations,Manager
57989,Procurement,Manager
75619,Sales & Marketing,Manager
26977,Operations,Manager
65975,Analytics,Manager
51302,Procurement,Manager
63714,Technology,Manager
70556,Operations,Manager
70117,Technology,Manager
51972,Analytics,Manager
60572,Sales & Marketing,Manager
9548,Analytics,Manager
64,Analytics,Manager
35510,Procurement,Manager
10732,Analytics,Manager
9214,Operations,Manager
10761,HR,Manager
32110,Sales & Marketing,Manager
50038,HR,Manager
1555,Technology,Manager
21200,Technology,Manager
50380,HR,Manager
45009,Analytics,Manager
65450,Technology,Manager
77333,Operations,Manager
2347,Analytics,Manager
8443,R&D,Manager
39490,Operations,Manager
69077,Technology,Manager
64652,Procurement,Manager
5254,Sales & Marketing,Manager
71131,Finance,Manager
19620,Procurement,Manager
41266,Sales & Marketing,Manager
11001,Sales & Marketing,Manager
28530,Operations,Manager
72481,Sales & Marketing,Manager
67417,Analytics,Manager
51840,Analytics,Manager
43223,Legal,Manager
40287,Sales & Marketing,Manager
29367,Sales & Marketing,Manager
36352,Procurement,Manager
29681,Analytics,Manager
30233,Sales & Marketing,Manager
66601,Operations,Manager
40276,R&D,Manager
1522,Operations,Manager
17936,Analytics,Manager
26270,Technology,Manager
6837,Sales & Marketing,Manager
49665,Operations,Manager
1908,Analytics,Manager
6474,Procurement,Manager
27495,Operations,Manager
24324,Operations,Manager
